Subject,Batch,PVC_Nr,Sow,Test_Nr,Novel_pig,OFT_expl_floor_wall_dur,OFT_voc_freq,NOT_expl_obj_dur,HAT_exploration_human_dur,NPT_sudden_display_freq,NPT_walking_by_fence_dur,NPT_NP_nose-nose_freq
9,2,21,770,1,8927,37.244,125,55.193,16.945,0,35.241,23
9,2,21,770,2,8793,79.03,82,45.099,44.496,0,45.492,18
10,2,2,772,1,8759,41.725,123,58.531,16.455,0,3.801,8
10,2,2,772,2,8790,117.426,22,31.344,38.749,0,0,29
11,2,13,775,1,8928,33.536,136,91.981,30.695,0,0,4
11,2,13,775,2,8929,73.785,35,167.58,67.301,NA,NA,NA
12,2,3,772,1,8779,19.591,357,17.398,17.849,0,0,9
12,2,3,772,2,8825,86.839,85,40.844,10.752,0,0,13
13,2,9,751,1,8927,39.174,150,60.2,23.591,3,30.747,14
13,2,9,751,2,8793,64.648,80,126.65,79.239,7,23.247,29
14,2,15,747,1,8759,87.522,141,119.2,27.646,0,0,26
14,2,15,747,2,8790,109.404,14,55.328,39.195,0,4.251,18
15,2,19,680,1,8928,27.691,178,57.538,10.096,0,0,10
15,2,19,680,2,8929,32.69,23,49.996,27.5,NA,NA,NA
16,2,1,775,1,8779,47.392,294,80.586,71.087,1,0,5
16,2,1,775,2,8825,58.238,77,140.684,112.005,0,0,29
17,2,6,728,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2,22,770,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,8831,733,1,8686,17.755,134,32.497,0,0,86.095,14
1,3,8831,733,2,6412,2.246,89,28.892,12.405,0,2.999,23
2,3,8745,746,1,7913,50.396,110,86.844,0,0,36.044,19
2,3,8745,746,2,8859,46.502,28,79.048,95.745,0,42.982,21
3,3,8712,746,1,8818,50.288,192,12.843,0,0,32.302,22
3,3,8712,746,2,8834,24.691,87,0,0,0,22.997,20
4,3,8641,739,1,8923,26.482,107,23.74,0,0,52.739,17
4,3,8641,739,2,8622,13.199,59,4.688,63.73,3,15.1,18
5,3,8670,743,1,8686,65.989,73,10.593,1.849,0,10.755,10
5,3,8670,743,2,6412,NA,72,1.001,0,0,54.883,4
6,3,8706,588,1,7913,40.102,186,10.296,0,0,73.985,23
6,3,8706,588,2,8859,22.043,71,1.494,4.551,0,131.922,8
7,3,8620,774,1,8818,65.636,157,7.793,0,0,0,6
7,3,8620,774,2,8834,73.241,22,12.001,0,0,0,0
8,3,8575,774,1,8923,38.795,168,60.297,15.595,0,39.6,10
8,3,8575,774,2,8622,46.07,95,94.83,115.61,0,7.848,10
9,3,8612,781,1,8686,46.14,168,39.192,18.9,0,51.505,8
9,3,8612,781,2,6412,122.919,33,58.892,42.806,0,35.246,13
10,3,8590,784,1,7913,23.744,137,33.195,12.593,0,52.739,36
10,3,8590,784,2,8859,28.241,75,53.088,37.593,0,70.222,18
11,3,8646,781,1,8818,35.044,139,13.08,7.451,0,8.499,25
11,3,8646,781,2,8834,104.331,35,60.137,92.242,0,34.845,20
12,3,8938,784,1,8923,11.601,197,24.391,0,0,59.743,5
12,3,8938,784,2,8622,46.355,39,73.39,17.299,0,38.732,23
13,3,8587,588,1,8686,67.84,144,23.896,2.205,0,60.932,13
13,3,8587,588,2,6412,133.477,28,30.543,21.34,0,37.49,10
14,3,8696,743,1,7913,57.857,216,35.383,2.543,0,66.29,32
14,3,8696,743,2,8859,88.529,135,109.793,75.845,0,31.129,9
15,3,8828,762,1,8818,35.995,228,85.646,37.795,0,9.249,24
15,3,8828,762,2,8834,124.392,92,120.347,99.599,0,58.847,6
16,3,8565,733,1,8923,28.239,86,12.337,4.501,0,23.005,4
16,3,8565,733,2,8622,0,45,0,34.002,0,0,6
17,3,8776,762,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,3,8555,773,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,7910,783,1,9116,26.25,168,17.645,10.791,0,0,10
1,4,7910,783,2,9104,59.237,60,5.554,0,0,3.995,12
2,4,7395,766,1,9128,32.739,228,20.892,4.041,0,78.984,32
2,4,7395,766,2,9199,61.592,33,14.193,35.742,0,80.007,41
3,4,9014,793,1,9030,72.143,189,7.899,1.949,1,62.098,27
3,4,9014,793,2,9087,53.077,223,5.147,2.59,1,37.989,19
4,4,9133,672,1,9070,58.424,81,15.395,12.491,0,0,13
4,4,9133,672,2,9176,11.094,68,23.637,9.636,0,0,6
5,4,8803,783,1,9116,83.467,192,102.989,11.105,0,128.739,17
5,4,8803,783,2,9104,98.387,28,27.393,58.056,0,44.997,7
6,4,9027,795,1,9128,101.63,62,120.709,30.593,0,153.995,8
6,4,9027,795,2,9199,102.967,4,241.436,92.254,0,97.882,15
7,4,9110,797,1,9030,33.149,90,12.189,13.441,0,0,20
7,4,9110,797,2,9087,40.836,32,7.241,4.644,0,0,24
8,4,9238,797,1,9070,9.001,137,38.947,0,0,10.5,6
8,4,9238,797,2,9176,NA,36,31.588,27.403,0,0,13
9,4,9069,801,1,9116,77.395,56,15.841,5.147,2,31.498,8
